Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
05/22/2017,5936,4522
10/24/2012,2358,2500
11/23/2020,593,387
07/26/2014,2444,2976
12/02/2015,2630,2400
03/02/2019,1448,1514
05/18/2013,1628,2000
05/04/2016,4132,4046
12/05/2015,374,442
12/26/2018,914,676
02/10/2014,1402,1454
02/24/2019,980,886
12/17/2018,3002,1748
08/18/2018,2398,2088
03/22/2018,2258,1436
10/19/2014,1988,2508
03/27/2015,2762,3268
01/02/2014,1868,1862
10/18/2019,3600,1828
02/06/2016,806,962
07/01/2017,2234,2082
04/13/2020,2222,1988
05/01/2018,5722,3820
04/14/2013,1304,1624
04/24/2013,4326,4574
05/23/2014,2496,2616
07/15/2020,1964,1470
07/10/2013,4606,4608
07/29/2013,4080,4096
09/18/2013,3800,4018
02/20/2020,4678,2288
09/05/2015,1540,1652
04/06/2019,758,664
05/21/2016,752,730
09/22/2019,586,532
09/18/2014,3312,3232
11/20/2016,538,550
02/17/2014,1066,990
12/17/2015,1674,1642
05/14/2014,5704,6070
02/08/2018,3004,2102
07/03/2018,5970,3894
04/20/2017,3550,2620
12/17/2020,795,601
08/05/2018,2388,2160
07/02/2019,4504,2486
06/25/2014,4688,4376
10/09/2020,1347,891
01/28/2015,2782,3144
08/04/2019,3010,2856
04/18/2019,3296,2038
08/02/2017,5618,3822
05/28/2014,3860,4156
11/11/2013,2726,2596
03/18/2014,2766,2838
09/24/2015,4470,4172
11/21/2012,1404,1336
11/26/2012,2356,2360
03/08/2019,2366,1386
03/26/2020,612,566
01/30/2013,1774,1746
11/10/2015,3498,3216
08/14/2018,5634,3470
04/17/2019,4586,2790
03/08/2014,692,760
03/25/2016,2822,2560
05/27/2016,2924,2802
12/22/2014,2248,2264
08/28/2017,5336,3404
05/21/2019,5134,3224
08/03/2018,4406,2944
03/15/2017,2070,1572
01/23/2013,1742,1792
04/13/2016,3102,2774
12/02/2019,3900,2618
06/20/2020,1192,1034
05/05/2014,3166,3436
02/10/2020,5140,2558
11/03/2017,2372,1626
08/29/2019,6368,3384
09/03/2020,1782,1243
06/04/2018,4606,3028
11/13/2015,1666,1558
02/25/2015,1738,3054
02/05/2020,2916,1338
05/17/2017,4756,3494
05/24/2019,4316,2722
02/13/2015,1784,3134
12/10/2013,1806,1934
08/04/2020,1952,1309
09/18/2016,1686,1700
06/02/2018,2960,2862
10/17/2020,994,793
05/06/2015,4110,4352
03/03/2016,2584,2406
06/11/2014,5084,5308
01/24/2015,1022,1304
09/21/2016,4538,3640
01/12/2019,1686,1656
03/24/2018,1416,1106
10/24/2018,4386,2898
07/17/2019,4942,2966
02/15/2017,1830,1292
07/11/2019,6984,4146
03/10/2016,2160,1924
10/30/2019,5374,2814
04/20/2015,4428,4684
02/03/2015,1824,2844
08/13/2019,7926,4376
12/25/2019,458,368
04/18/2017,3158,2406
07/28/2016,4692,4274
10/01/2019,6840,3602
06/16/2019,3672,2868
05/17/2013,4096,5470
06/18/2017,1676,1670
04/03/2018,4096,2690
09/03/2019,7230,3976
06/18/2016,1172,1062
04/27/2018,4122,2720
10/22/2016,1502,1518
11/15/2014,986,1180
12/19/2018,2880,1770
10/20/2015,3848,3742
04/20/2013,890,1174
02/01/2015,636,780
11/27/2018,3158,1990
02/09/2015,2946,1262
01/08/2013,1594,1562
07/28/2018,2614,2456
11/01/2012,2060,2122
06/03/2019,6682,4070
02/17/2015,2160,3678
04/07/2020,2002,1788
08/28/2015,2706,2600
11/06/2014,2190,2306
04/14/2015,2364,2484
01/05/2017,1980,1574
09/12/2016,4650,3836
09/14/2015,3338,3230
02/23/2018,1404,848
11/04/2017,716,814
08/09/2017,5568,3830
08/05/2017,2052,2000
04/07/2017,1974,1470
10/28/2016,3404,3000
09/28/2020,1591,1101
06/15/2015,4630,4532
10/25/2015,826,978
12/20/2014,376,432
07/22/2016,2206,1950
10/12/2016,4356,3404
05/25/2015,1614,1860
06/16/2014,3344,3378
11/19/2016,872,806
10/18/2013,2824,3076
12/10/2019,4440,2184
01/23/2018,2414,1538
09/30/2017,1280,1288
11/04/2018,1222,1218
02/01/2020,680,496
07/18/2015,2176,2214
05/04/2018,4984,3192
09/23/2019,5632,2766
11/02/2018,3576,2058
04/12/2013,1996,2094
03/09/2015,4094,1572
09/27/2020,1605,1293
09/16/2017,2208,2098
05/16/2016,4024,3582
12/01/2020,894,594
10/20/2012,964,1172
06/19/2017,4976,3466
01/27/2015,2004,3122
01/30/2019,4076,2382
12/17/2016,564,472
05/29/2015,4550,4546
08/07/2018,6712,4054
06/21/2017,5416,3884
02/12/2020,5010,2324
07/17/2020,1234,949
02/13/2020,3650,1818
03/12/2016,658,734
03/11/2017,472,476
04/13/2015,1986,2330
10/31/2014,1864,2012
10/15/2018,5010,3050
08/13/2017,4556,1980
11/30/2019,594,662
03/08/2015,1938,2274
08/06/2013,4514,4690
08/13/2014,3346,3226
07/29/2019,7448,4270
12/21/2015,1318,1232
03/22/2014,1420,1588
06/19/2016,2284,2262
02/09/2018,2950,1898
02/20/2016,1526,1858
12/16/2012,298,404
02/27/2015,2438,1038
09/09/2016,4272,3604
05/01/2019,6266,3856
11/03/2012,878,1026
03/04/2017,1138,1112
02/06/2013,1958,2032
11/16/2012,1966,2046
12/02/2017,380,386
09/16/2020,427,299
10/12/2014,1440,1678
09/06/2014,2266,2534
01/28/2019,4298,2658
06/25/2015,4726,4692
11/27/2020,1011,843
08/04/2013,2256,2676
05/11/2016,5554,5434
04/21/2020,1736,1462
01/13/2019,1502,1644
12/04/2019,4486,2192
07/01/2018,1902,1564
02/26/2018,2748,1808
09/13/2013,3258,3206
11/07/2020,884,637
03/25/2014,2112,2062
07/31/2020,1684,1280
10/26/2017,4166,2932
04/04/2017,3684,2770
04/06/2014,1294,1792
04/20/2014,1652,1816
10/20/2020,1350,895
10/03/2020,1122,898
10/29/2018,3862,2484
05/16/2013,4234,4314
10/24/2013,2782,3248
11/28/2014,306,342
02/16/2020,1024,750
03/30/2013,2264,2730
12/11/2013,2084,2188
12/18/2019,4286,1968
03/30/2015,2650,4028
04/11/2020,2536,2476
03/04/2016,2320,2190
10/02/2014,3328,4464
12/08/2015,1802,1710
11/02/2016,2780,2126
12/03/2014,2550,2038
11/26/2017,446,438
08/28/2014,4402,4416
11/05/2016,388,490
06/06/2015,2414,2536
03/23/2017,3290,2416
05/18/2016,4594,4516
02/19/2018,1496,916
03/07/2019,1900,1110
02/19/2019,2476,1416
09/08/2017,4258,3016
05/29/2020,1845,1554
09/16/2013,3108,3022
07/08/2018,2716,2798
03/21/2016,2202,1894
06/10/2017,2456,2758
12/30/2013,1714,1730
06/02/2015,3182,2974
12/14/2013,786,982
01/16/2018,3392,2172
04/24/2018,6154,4222
11/17/2013,854,1078
01/16/2015,1672,2612
04/05/2019,3062,1710
06/09/2018,1372,1474
08/26/2019,7228,3860
04/02/2014,3450,3894
04/28/2019,2336,2162
09/18/2019,5942,3254
05/16/2019,4444,2644
04/10/2016,1530,1676
11/10/2017,2882,1934
11/21/2016,3306,2606
02/20/2015,2956,1078
02/21/2018,2232,1412
10/01/2016,1064,1088
05/22/2014,4874,4946
10/26/2020,913,564
04/18/2020,1692,1680
03/02/2020,4086,1858
10/16/2018,5352,3478
04/07/2013,526,628
10/02/2013,2338,2486
11/01/2014,1162,1426
07/06/2018,4832,3352
07/14/2017,5052,3606
01/05/2014,972,1330
05/13/2019,5886,3538
12/11/2014,2398,844
02/21/2019,3098,1890
10/30/2020,1034,810
01/13/2018,1056,1060
03/24/2017,1830,1340
12/13/2013,1782,1756
03/19/2013,2240,2384
01/26/2016,2252,2084
02/12/2013,2046,2164
03/02/2016,2558,2506
12/21/2016,2222,1774
02/13/2019,804,396
02/23/2019,712,574
09/24/2013,3112,3300
11/13/2014,2744,2488
03/18/2017,624,570
03/28/2016,3186,3036
05/13/2016,5080,4850
01/19/2020,952,694
07/18/2016,4144,3650
05/26/2013,1052,1330
10/19/2015,3116,2926
12/11/2012,1902,1988
05/22/2020,1226,928
04/26/2015,1446,1686
03/17/2014,2828,2790
09/20/2018,4184,2686
03/14/2015,804,946
02/03/2014,2304,2276
02/03/2019,4904,2706
07/14/2020,1912,1443
03/05/2014,1840,1908
12/09/2013,1774,1812
07/28/2013,1804,2156
05/08/2016,1060,1296
07/20/2019,3662,2842
10/19/2018,4368,2686
08/24/2014,2276,2562
04/17/2013,2832,3046
09/06/2015,850,932
06/29/2018,5982,3856
07/08/2014,5212,5218
10/13/2017,3294,2190
01/12/2014,570,740
12/28/2020,997,761
06/28/2015,2022,2180
10/06/2012,1852,2160
04/22/2014,2346,2500
08/30/2020,1728,1275
07/25/2020,1869,1586
06/05/2016,2002,2264
09/16/2014,4182,4494
01/25/2015,1786,2524
08/06/2015,4410,4180
03/05/2013,2386,2410
10/25/2014,736,744
06/01/2016,4910,4708
12/21/2019,310,274
04/15/2018,950,952
03/06/2020,1810,1092
06/10/2015,5000,4954
01/06/2017,1842,1454
12/07/2014,1132,1256
04/08/2016,3924,3842
12/15/2014,3470,1096
08/27/2020,1724,1307
06/27/2019,5046,2892
03/26/2013,2904,3126
08/03/2015,4350,4136
03/11/2015,2958,1142
04/12/2014,2030,2340
12/22/2020,757,554
09/13/2017,5550,3560
12/25/2017,56,40
07/15/2014,4930,4952
10/26/2018,3246,2100
01/03/2016,426,462
01/19/2013,678,842
10/28/2015,2610,2538
07/26/2013,3928,3998
07/23/2017,2270,2040
09/25/2014,2916,3008
12/29/2017,668,514
05/12/2018,2948,2916
06/03/2020,1506,1148
05/18/2019,3408,3118
07/03/2020,1411,1063
06/14/2013,3264,3380
02/21/2014,1920,1858
10/25/2013,2366,2504
02/21/2015,1506,1796
03/30/2017,3242,2456
11/19/2015,3034,2840
01/07/2013,1850,1936
11/09/2020,768,441
09/18/2015,3078,2922
01/14/2020,1128,538
11/04/2020,682,426
01/07/2017,520,556
04/05/2017,2238,1570
07/04/2018,3952,3606
11/29/2020,977,865
03/18/2013,2400,2362
11/03/2019,1928,1542
04/26/2017,2952,2126
09/11/2019,7094,4050
02/20/2017,1136,802
06/09/2020,621,498
10/15/2016,302,282
10/16/2013,3194,3486
10/02/2015,3080,2954
09/14/2018,3210,2102
04/17/2020,2584,2278
10/27/2018,1072,1122
11/06/2020,942,672
07/09/2019,6420,3682
03/03/2018,1460,1556
12/05/2014,1968,1888
09/29/2013,474,506
01/14/2018,1488,1670
11/19/2020,789,559
07/13/2018,5494,3532
12/25/2013,300,442
06/05/2020,1609,1195
02/10/2013,1154,1470
06/07/2016,5318,4856
03/29/2014,516,626
10/16/2017,4700,3142
02/23/2015,2212,3550
02/02/2016,3234,3034
10/11/2017,4026,2652
07/17/2018,6548,4170
11/14/2012,2612,2588
01/12/2020,578,522
11/16/2018,3646,2190
05/13/2020,1335,1065
11/25/2019,4344,2142
07/16/2013,4558,4628
06/29/2016,4742,4226
05/28/2020,1571,1234
10/15/2015,3842,3704
11/12/2018,3578,2166
01/28/2014,2424,2508
12/28/2017,1122,822
08/15/2014,3264,2980
03/24/2020,1278,1018
10/14/2013,3236,3574
05/25/2013,1656,1876
03/21/2014,2614,2690
07/03/2014,3790,3728
01/15/2020,1358,672
08/10/2018,5636,3476
12/23/2020,655,546
12/22/2017,1354,964
11/01/2015,510,534
12/10/2017,884,910
08/31/2013,2176,2408
12/17/2014,2784,1174
10/30/2016,884,834
07/11/2020,1545,1275
03/16/2017,3170,2486
03/13/2014,3238,3388
04/04/2014,2804,2830
04/19/2016,4884,4870
09/03/2014,3914,4328
08/10/2017,5192,3680
12/03/2012,1872,1864
01/10/2016,862,1124
04/05/2014,950,1138
08/07/2016,1574,1634
10/20/2014,3088,2628
03/27/2019,4678,2902
02/28/2013,1770,1748
01/03/2015,730,904
03/20/2015,1606,2422
03/03/2019,1298,1248
09/05/2018,5962,3738
04/20/2016,4790,4782
07/19/2019,5964,3462
06/21/2014,3388,3020
08/02/2018,5274,3232
08/13/2018,6106,3632
05/05/2016,5046,4870
12/05/2019,4958,2396
12/10/2018,3526,2140
06/09/2017,3930,2804
02/28/2020,3742,1824
02/02/2020,1362,1078
07/27/2017,4636,3324
01/13/2016,1900,1712
07/14/2015,4892,4698
01/30/2016,938,1116
06/03/2017,1846,1936
08/30/2013,3324,3428
09/11/2018,4652,3030
03/09/2016,2094,1954
01/01/2015,642,780
02/04/2018,886,990
05/10/2020,1615,1434
11/24/2017,874,852
07/17/2017,5790,3792
01/09/2017,2270,1758
08/28/2013,3466,3502
02/23/2017,2492,1742
03/03/2020,4950,2214
12/23/2013,1416,1418
11/07/2012,2626,2812
01/29/2018,2378,1566
12/28/2015,1224,1188
09/28/2016,4722,3904
09/05/2020,1600,1511
06/24/2015,4664,4786
08/15/2020,1663,1406
07/31/2015,3964,3810
12/06/2012,1848,1910
06/14/2020,1794,1528
02/17/2019,700,616
11/09/2019,724,638
03/16/2018,3908,2514
02/04/2017,310,396
05/06/2018,2350,2420
07/10/2020,1880,1261
05/30/2020,456,363
03/22/2019,3752,2358
03/13/2018,2898,1794
12/14/2012,1630,1788
10/24/2017,5002,3300
09/11/2014,4252,3832
03/02/2018,2692,1670
09/02/2013,2094,2556
08/18/2015,4650,4366
07/25/2014,3944,4200
07/24/2016,2068,2272
10/23/2013,3244,2924
09/08/2020,956,632
06/02/2013,2216,3136
05/13/2015,2682,2732
02/12/2014,2166,2112
01/11/2019,3778,2258
05/23/2015,1552,1608
10/03/2013,3162,3340
06/22/2020,1840,1398
11/10/2019,1468,1148
09/13/2020,198,176
08/01/2018,6282,3834
05/23/2017,6298,4658
06/05/2018,6034,4012
07/28/2015,4882,4548
07/10/2019,4006,2326
02/11/2015,2228,3388
02/18/2019,1608,976
02/05/2013,1964,2060
08/12/2019,7216,4134
01/24/2017,2832,2316
12/12/2014,2240,2362
04/29/2020,2150,1958
03/12/2015,3698,2130
07/23/2013,4556,4652
11/05/2020,631,412
03/10/2015,4170,1540
10/25/2020,926,768
09/22/2017,4472,3208
03/18/2016,2846,2776
01/06/2020,3780,1910
12/05/2017,3470,2428
06/06/2018,6244,4196
07/30/2020,1742,1253
12/08/2012,806,942
08/31/2017,4510,3306
01/31/2017,2924,2292
11/14/2014,1942,2412
12/15/2018,1134,1052
02/01/2018,2766,1688
06/06/2014,4364,4400
09/17/2017,1084,982
01/10/2019,3562,2234
08/21/2018,2924,1798
10/10/2016,3980,3216
02/25/2016,3368,3276
09/16/2015,3898,3564
07/02/2016,1882,2146
06/12/2020,973,592
11/11/2014,3146,2436
12/31/2020,674,505
09/09/2014,3412,4564
02/16/2017,2590,2026
12/30/2012,640,750
11/08/2015,636,726
08/12/2013,3978,4078
12/11/2016,454,458
10/24/2014,3140,2416
12/29/2012,476,498
04/10/2018,2834,1880
10/11/2016,4406,3592
03/01/2019,3280,2034
06/20/2013,2500,2442
08/03/2016,4826,4216
05/27/2018,2772,2480
05/29/2013,3038,3236
02/07/2013,2144,2230
06/15/2013,2240,2872
02/18/2013,1446,1516
03/30/2016,4286,4316
07/20/2016,4856,4440
04/18/2014,2936,2924
10/31/2018,3792,2244
12/25/2012,96,100
09/02/2017,2188,2118
01/16/2014,2580,2702
01/29/2019,4410,2670
09/22/2016,4750,3834
08/27/2015,4374,4298
02/12/2017,1206,1256
12/20/2015,478,546
02/26/2014,2900,3020
09/30/2019,6560,3452
09/09/2019,4896,2534
08/11/2013,2092,2538
11/22/2020,478,438
09/26/2018,5562,3476
09/02/2015,3734,3490
02/11/2014,1986,2062
11/25/2012,904,1132
07/08/2020,1857,1413
12/15/2013,638,872
05/03/2019,4968,3252
07/18/2019,5880,3476
02/20/2014,2188,2240
10/02/2020,1447,1039
07/23/2018,6134,3768
08/23/2014,2254,2606
12/31/2015,1058,1072
10/09/2019,5812,3138
12/16/2013,2424,2576
07/09/2017,2330,2218
06/20/2016,4590,4106
09/13/2014,2354,2380
10/08/2016,656,744
08/17/2016,5030,4192
02/22/2015,1680,1960
06/13/2015,2528,2848
08/20/2020,1382,1018
12/01/2015,2678,2518
05/02/2019,5418,3306
10/09/2016,1094,1060
10/29/2019,5772,2874
09/26/2013,3478,3748
02/14/2019,1112,650
11/28/2019,606,552
10/06/2017,4208,2940
02/08/2016,3226,3094
11/26/2013,2448,2634
11/10/2018,1222,1106
06/01/2018,5004,3330
10/05/2015,4134,3972
10/17/2015,1256,1434
01/29/2017,872,756
10/15/2013,3374,3554
11/08/2020,977,879
02/17/2020,2982,1700
12/18/2013,2184,2158
09/18/2018,5536,3398
05/07/2020,1512,1325
06/24/2018,2890,2356
08/04/2014,4782,4598
07/10/2015,3792,3752
02/15/2014,588,728
12/12/2013,1892,1976
09/22/2018,1610,1440
02/14/2020,3926,1996
02/18/2017,582,536
03/28/2019,4670,2910
04/19/2014,834,978
01/10/2017,2032,1608
04/03/2017,4016,3010
12/11/2019,3822,1912
03/23/2016,2512,2160
07/27/2013,2424,2578
07/22/2013,4202,4146
04/03/2016,1938,2316
09/20/2013,3300,3368
11/18/2019,4388,2050
01/25/2020,1134,872
11/19/2014,3150,2520
08/02/2013,2538,2620
05/15/2016,996,1084
05/17/2018,5684,4016
08/17/2019,2946,2414
05/14/2018,6518,4368
10/09/2018,4216,2674
12/09/2012,410,434
02/09/2017,1392,1100
06/08/2016,4784,4470
10/23/2019,6146,3124
11/21/2015,1004,1234
03/03/2015,2202,3688
06/29/2013,2584,2880
11/25/2014,1746,2156
01/31/2020,2762,1318
04/13/2018,1958,1298
08/27/2016,1752,1714
01/10/2014,1632,1928
06/07/2013,3584,3768
04/19/2015,2512,3038
06/19/2020,1726,1317
06/06/2020,1436,1216
12/12/2017,3188,2102
10/21/2018,1254,1210
11/05/2018,4086,2528
06/30/2017,5102,3628
12/31/2016,468,476
04/01/2014,3710,3872
10/10/2014,2430,3484
09/06/2013,2156,2290
06/29/2015,4066,4296
10/08/2012,3416,3658
01/04/2017,2002,1614
10/27/2016,3104,2530
12/09/2017,852,768
10/10/2019,5414,2972
05/08/2019,6694,4244
06/21/2018,5996,3820
07/29/2020,1816,1373
10/08/2013,2812,2968
04/16/2019,4442,2756
12/04/2015,2310,2226
09/09/2015,4486,4140
03/06/2015,2072,3532
04/30/2015,3628,3588
02/20/2018,2314,1456
08/14/2017,5218,3628
01/07/2019,3768,2354
01/27/2014,2488,2510
09/17/2019,3994,2114
02/12/2016,1982,1858
10/08/2019,4848,2566
08/24/2017,5014,3652
02/01/2019,2248,1264
10/21/2013,2948,3064
12/07/2019,752,568
08/15/2018,5102,3346
02/27/2020,5568,2892
08/15/2019,7484,4162
02/18/2018,456,396
09/03/2016,1288,1428
01/20/2016,2710,2466
07/21/2020,1813,1345
10/23/2017,4660,3220
02/13/2017,3414,2640
11/06/2012,2412,2574
01/26/2013,516,572
04/27/2020,2190,1686
09/15/2020,406,240
03/23/2014,1776,2150
01/11/2018,2172,1340
08/29/2015,668,730
12/03/2015,1948,1820
08/05/2020,1973,1370
11/11/2019,4906,2482
07/02/2018,5356,3332
05/14/2016,1494,1700
05/08/2018,6108,4178
09/16/2018,1128,1212
08/17/2017,5552,3878
09/07/2020,1453,1168
11/26/2019,4422,2236
09/10/2020,1309,830
09/06/2016,3110,2680
08/02/2020,1818,1470
08/20/2015,4026,3666
11/11/2018,1130,1110
09/14/2013,1700,1964
04/10/2014,3814,4066
11/21/2019,5412,2640
05/20/2013,4494,4804
03/15/2019,3674,2368
12/16/2018,368,336
11/22/2019,4504,2160
08/18/2014,4844,4428
04/14/2017,2674,1920
02/22/2020,1366,916
12/09/2020,726,527
01/15/2018,2586,1854
03/13/2017,2206,1502
12/13/2017,3346,2136
07/18/2017,6116,4360
11/10/2013,970,1010
11/25/2013,2548,2670
01/25/2019,3790,2364
08/25/2013,1936,2182
12/19/2016,1630,1224
05/18/2017,5026,3768
03/20/2018,4374,2932
07/06/2017,5834,4126
09/01/2015,2966,2786
11/22/2017,2248,1596
02/27/2018,2682,1812
03/04/2018,782,772
12/06/2015,488,472
06/06/2013,4580,4698
09/20/2016,4772,3786
10/18/2018,5064,3116
05/11/2018,5304,3502
10/17/2012,3192,3294
07/06/2013,2692,3152
06/05/2017,5390,3924
04/10/2013,2108,2118
01/31/2019,3952,2368
07/07/2016,3726,3126
01/22/2020,3544,1596
12/10/2015,1920,1762
07/04/2015,2392,2494
06/01/2013,1944,2536
02/03/2018,704,688
06/22/2017,5780,4242
08/23/2017,5642,3714
09/15/2019,694,642
06/08/2014,3294,3800
12/30/2018,788,708
04/10/2020,2690,2460
01/22/2016,2210,2110
06/27/2016,4838,4254
09/15/2014,3672,5228
07/23/2020,1566,1294
02/05/2016,2112,2090
07/20/2018,5132,3366
04/13/2013,720,972
02/19/2016,1630,1504
07/29/2016,4180,3696
11/12/2020,746,473
03/02/2015,3772,1376
12/26/2013,1166,1214
02/11/2019,138,64
08/21/2016,1740,1748
04/10/2019,3414,2064
10/23/2015,3180,2994
01/18/2019,3102,1826
05/07/2016,2468,3072
07/04/2020,1414,1117
08/28/2020,1766,1183
04/28/2014,3616,3900
03/06/2013,1984,2098
01/08/2020,4528,2228
10/30/2012,1646,1824
07/09/2013,4782,4850
04/12/2015,1474,1928
06/20/2019,6182,3634
11/30/2020,705,531
10/28/2012,902,1222
06/04/2017,2052,2048
05/12/2014,5410,5454
02/09/2013,974,1254
08/03/2017,4874,3320
08/13/2015,4590,4266
05/26/2017,5160,3926
12/23/2019,1982,998
07/12/2017,6066,4434
10/04/2012,3534,3416
01/01/2014,832,996
03/22/2017,2988,2306
09/23/2016,3038,2400
06/24/2013,2370,2494
12/24/2016,366,404
09/20/2019,6062,2954
10/16/2019,3800,1924
03/02/2013,1152,1314
03/29/2018,3886,2576
07/05/2019,3326,2104
11/02/2020,1279,893
08/25/2014,5008,4958
03/09/2019,1354,1304
06/11/2015,4802,4636
01/29/2015,2908,3214
11/03/2015,3396,3212
11/02/2015,3104,2944
01/05/2018,2234,1498
08/14/2020,1762,1774
06/24/2017,2526,2366
09/17/2018,5372,3330
11/14/2017,3056,1908
12/06/2014,848,956
07/03/2019,5020,2976
01/19/2019,1044,908
04/08/2013,2710,2668
03/10/2019,1460,1476
01/04/2016,1882,1720
09/23/2015,4584,4540
06/16/2015,4762,4340
04/29/2016,3028,2854
01/02/2017,618,628
04/01/2016,3976,3856
07/12/2019,6442,3914
09/21/2019,2824,2472
07/19/2015,1892,2034
11/12/2019,4490,2168
01/15/2013,2002,2130
02/13/2016,640,706
07/13/2017,4438,3498
12/18/2015,1732,1684
04/12/2017,2054,1584
07/01/2015,4678,4624
01/21/2019,2482,1600
10/12/2012,1978,2044
09/26/2014,2350,2672
11/02/2013,652,688
08/13/2016,1888,1894
07/01/2020,1217,824
03/12/2013,1972,1988
04/22/2018,2074,2096
05/05/2015,2564,2646
05/25/2018,4974,3116
10/24/2016,3306,2686
02/17/2018,774,762
02/15/2013,2196,2412
03/07/2017,2008,1446
10/21/2012,898,1080
08/29/2013,2290,2460
07/29/2015,4914,4554
05/27/2020,1862,1585
08/02/2015,1860,1906
08/01/2020,1629,1481
07/10/2018,6160,4044
05/27/2015,4692,4850
12/25/2020,143,109
01/30/2018,3432,2324
11/04/2013,3028,3088
08/19/2018,2008,1882
11/19/2012,984,950
03/20/2019,6028,3634
02/08/2014,710,880
10/01/2014,3326,4348
08/26/2014,5648,5454
06/23/2017,4896,3710
10/03/2016,4156,3274
06/19/2018,6744,4222
08/25/2018,1470,1194
06/04/2015,4626,4648
02/03/2013,782,954
07/02/2020,1302,938
12/04/2016,860,972
09/26/2017,5466,3832
09/10/2019,5366,2980
05/06/2019,6630,3862
08/30/2018,4574,2778
12/17/2012,1490,1494
05/19/2013,1900,2372
02/14/2013,1808,1960
06/26/2019,6282,3782
12/16/2017,800,812
08/15/2015,1744,1660
05/08/2017,5044,3730
02/21/2020,4218,2118
10/08/2017,1366,1412
04/11/2018,2958,1896
01/26/2017,2808,2228
10/16/2020,941,680
11/08/2017,3474,2284
01/17/2015,548,636
12/06/2018,3266,1918
11/18/2015,2992,2862
04/14/2014,3914,4098
07/15/2015,4852,4520
05/16/2018,6204,4276
11/16/2013,1032,1210
06/29/2017,5510,3976
08/30/2015,1082,1344
01/19/2018,2726,1776
01/11/2013,1532,1608
02/23/2016,3320,3252
04/28/2016,4042,3698
11/27/2013,2164,2338
09/19/2020,959,763
01/17/2019,3372,1996
03/30/2014,1084,1556
12/27/2014,524,562
01/25/2017,2552,2132
04/23/2016,1472,1870
11/07/2015,530,520
10/24/2020,986,677
01/18/2016,1688,1728
01/19/2017,2194,1696
07/24/2018,6706,4194
09/10/2013,4266,4224
10/10/2017,3982,2654
10/27/2013,724,832
03/13/2020,1050,626
01/05/2013,632,806
02/22/2014,562,686
11/23/2012,374,336
10/07/2015,2456,2262
02/24/2013,1034,1210
06/12/2018,6092,3868
05/29/2019,6950,4396
10/13/2020,792,518
11/25/2017,876,840
02/15/2019,1690,988
09/06/2019,6736,3646
04/08/2018,1078,1084
06/02/2019,3050,2876
12/07/2012,1820,1812
07/22/2015,4886,4410
09/12/2019,6794,3972
02/26/2020,5142,2418
06/13/2019,7532,4458
05/16/2014,5198,6286
08/21/2015,3618,3594
05/05/2017,3212,2254
11/26/2014,2154,2324
03/23/2020,1594,994
05/31/2019,6470,4164
01/23/2019,3502,2060
